Query_number,Document_ID,Cluster_ID,Similarity
18,output_96953.txt,591,0.59738326
18,output_19726.txt,289,0.5956231
18,output_350565.txt,125,0.52308244
18,output_223887.txt,125,0.51873803
18,output_289586.txt,591,0.43957457
18,output_85266.txt,502,0.4135908
18,output_300115.txt,495,0.4106927
19,output_5887.txt,203,0.64369917
19,output_342368.txt,203,0.6269872
19,output_50831.txt,203,0.60355055
19,output_51054.txt,203,0.5770869
19,output_252387.txt,203,0.5754019
19,output_161741.txt,203,0.57451147
19,output_284173.txt,507,0.5446242
19,output_266087.txt,203,0.5439738
19,output_271047.txt,203,0.5228299
19,output_256367.txt,203,0.5222982
20,output_446893.txt,66,0.6751357
20,output_347649.txt,701,0.6679692
20,output_362713.txt,66,0.6577383
20,output_441672.txt,66,0.6514108
20,output_468119.txt,102,0.6230784
20,output_79672.txt,102,0.6146836
20,output_217913.txt,66,0.5940145
20,output_266142.txt,66,0.57654047
20,output_401396.txt,102,0.566384
20,output_111003.txt,701,0.56444716
21,output_229100.txt,653,0.5650403
21,output_389777.txt,342,0.5551318
21,output_250951.txt,292,0.52607715
21,output_196889.txt,300,0.5071972
21,output_73600.txt,236,0.48696762
21,output_369123.txt,342,0.45550862
21,output_339746.txt,393,0.447165
21,output_167802.txt,393,0.44707137
21,output_206032.txt,393,0.44025278
21,output_377738.txt,393,0.42740533
22,output_112781.txt,383,0.5386629
22,output_229208.txt,379,0.50998545
22,output_84169.txt,321,0.50505453
22,output_146492.txt,379,0.49731103
22,output_254958.txt,383,0.49468097
22,output_32950.txt,383,0.4889027
22,output_273410.txt,379,0.48855513
22,output_204641.txt,451,0.48595554
22,output_438486.txt,81,0.47939694
22,output_390567.txt,383,0.47611374
23,output_332471.txt,36,0.68430805
23,output_163112.txt,559,0.47377476
23,output_39061.txt,559,0.4705904
23,output_295163.txt,207,0.4459059
23,output_258905.txt,207,0.44340712
23,output_283131.txt,207,0.43637162
23,output_69888.txt,207,0.42405805
23,output_58049.txt,438,0.42331287
23,output_178352.txt,207,0.42299223
23,output_189469.txt,36,0.4042064
24,output_451729.txt,451,0.60089606
24,output_451396.txt,451,0.58821446
24,output_96667.txt,349,0.5663633
24,output_281834.txt,451,0.543882
24,output_389793.txt,616,0.5029154
24,output_345854.txt,451,0.50145304
24,output_475757.txt,349,0.49592593
24,output_38515.txt,451,0.48221067
24,output_27099.txt,422,0.47152138
24,output_454971.txt,451,0.4701026
25,output_100578.txt,439,0.65558183
25,output_482761.txt,439,0.65232193
25,output_150286.txt,439,0.6402801
25,output_435670.txt,439,0.6275915
25,output_99220.txt,439,0.6106257
25,output_30295.txt,439,0.60007656
25,output_234131.txt,439,0.589861
25,output_381308.txt,439,0.5857314
25,output_439971.txt,439,0.5848033
25,output_183571.txt,439,0.57104796
26,output_88548.txt,129,0.61706614
26,output_486604.txt,129,0.5832065
26,output_94651.txt,129,0.43223006
26,output_460912.txt,129,0.3979419
26,output_489211.txt,511,0.39617473
26,output_122569.txt,511,0.3885536
26,output_39234.txt,129,0.3827967
26,output_33180.txt,511,0.38267046
26,output_162914.txt,511,0.381011
26,output_372683.txt,511,0.3746419
27,output_88106.txt,294,0.73307943
27,output_290689.txt,180,0.67976224
27,output_355134.txt,294,0.6119087
27,output_36626.txt,180,0.60668445
27,output_133067.txt,180,0.60468143
27,output_141729.txt,674,0.59752595
27,output_223965.txt,180,0.59061587
27,output_35297.txt,180,0.5784849
27,output_200193.txt,180,0.5673181
27,output_317273.txt,180,0.54370743
28,output_67638.txt,43,0.81448066
28,output_484493.txt,43,0.8035763
28,output_292675.txt,43,0.7884687
28,output_204911.txt,43,0.7420232
28,output_189580.txt,43,0.72482514
28,output_247004.txt,43,0.63155705
28,output_328501.txt,697,0.6263457
28,output_199690.txt,701,0.5989094
28,output_473982.txt,697,0.5812185
28,output_184683.txt,701,0.55550253
29,output_215162.txt,190,0.68855923
29,output_134929.txt,190,0.6425584
29,output_136718.txt,32,0.53119934
29,output_174789.txt,83,0.5300988
29,output_51481.txt,32,0.51356673
29,output_183536.txt,32,0.5131068
29,output_49307.txt,190,0.51080406
29,output_88856.txt,32,0.5001167
29,output_448073.txt,190,0.48964402
29,output_177542.txt,190,0.48964402
30,output_171306.txt,247,0.53142685
30,output_131235.txt,247,0.50420153
30,output_142838.txt,247,0.4960552
30,output_125358.txt,65,0.46310684
30,output_458677.txt,160,0.45330742
30,output_312370.txt,160,0.45279682
30,output_162587.txt,160,0.44460386
30,output_164923.txt,542,0.44374847
30,output_398536.txt,247,0.44288567
30,output_351135.txt,247,0.43983322
31,output_418970.txt,207,0.60109454
31,output_182994.txt,36,0.5913656
31,output_65801.txt,207,0.5888096
31,output_287038.txt,207,0.5836166
31,output_54204.txt,207,0.55225503
31,output_489086.txt,438,0.55078465
31,output_161077.txt,496,0.54670227
31,output_413968.txt,207,0.5415469
31,output_134787.txt,507,0.53407526
31,output_305514.txt,438,0.5266508
32,output_323197.txt,338,0.6453373
32,output_268166.txt,338,0.64265305
32,output_406360.txt,338,0.6271612
32,output_41366.txt,338,0.62070584
32,output_343798.txt,338,0.6167631
32,output_244320.txt,338,0.6149621
32,output_360219.txt,338,0.6077745
32,output_56423.txt,338,0.60663277
32,output_406552.txt,338,0.6060022
32,output_209282.txt,338,0.59363556
33,output_199273.txt,235,0.70479405
33,output_271531.txt,371,0.67647505
33,output_372234.txt,371,0.64291537
33,output_348784.txt,371,0.6384131
33,output_344066.txt,371,0.61706954
33,output_153148.txt,125,0.57232624
33,output_207250.txt,371,0.56909317
33,output_82120.txt,371,0.55723894
33,output_483992.txt,371,0.52163875
33,output_378214.txt,235,0.5152901
34,output_202824.txt,461,0.59953946
34,output_478956.txt,461,0.5989016
34,output_395012.txt,461,0.5568583
34,output_444074.txt,461,0.55106056
34,output_118580.txt,461,0.492655
34,output_203183.txt,76,0.4677847
34,output_77252.txt,461,0.4666998
34,output_96563.txt,461,0.4651724
34,output_7184.txt,461,0.45414513
34,output_287593.txt,155,0.45403728
35,output_63958.txt,438,0.65351975
35,output_431121.txt,209,0.6284721
35,output_188230.txt,438,0.62333727
35,output_12667.txt,438,0.6121657
35,output_16105.txt,36,0.60924315
35,output_500032.txt,438,0.59867936
35,output_168461.txt,209,0.59456944
35,output_247534.txt,36,0.59101784
35,output_237451.txt,438,0.58443403
35,output_453639.txt,623,0.5837266
36,output_14971.txt,469,0.35283506
36,output_191215.txt,537,0.33778086
36,output_419712.txt,469,0.3355665
36,output_127385.txt,469,0.335284
36,output_498683.txt,469,0.3253283
36,output_147124.txt,350,0.31852537
36,output_169145.txt,558,0.31000918
36,output_363793.txt,397,0.30500433
36,output_138164.txt,696,0.3043124
36,output_214427.txt,104,0.3000807
37,output_334779.txt,379,0.6068109
37,output_38642.txt,287,0.5861384
37,output_256130.txt,287,0.56885684
37,output_113414.txt,224,0.5379554
37,output_202949.txt,287,0.5357161
37,output_112827.txt,287,0.52340376
37,output_499236.txt,287,0.5223396
37,output_154424.txt,379,0.51798546
37,output_202807.txt,321,0.5154179
37,output_242387.txt,379,0.51071256
38,output_24642.txt,19,0.5697103
38,output_492772.txt,523,0.47194052
38,output_268414.txt,652,0.47060946
38,output_252482.txt,533,0.4411704
38,output_434468.txt,547,0.44067648
38,output_213036.txt,22,0.42790815
38,output_431918.txt,683,0.41574967
38,output_71361.txt,22,0.40912482
38,output_274974.txt,22,0.40850148
38,output_115598.txt,22,0.40630776
39,output_363436.txt,118,0.6699933
39,output_125945.txt,118,0.6200725
39,output_88965.txt,118,0.60196745
39,output_164763.txt,118,0.58320934
39,output_267732.txt,118,0.5773181
39,output_123558.txt,118,0.5676984
39,output_444586.txt,118,0.55882305
39,output_474270.txt,13,0.5474693
39,output_447248.txt,13,0.53706706
39,output_281031.txt,249,0.53294533
40,output_126143.txt,663,0.5141883
40,output_321141.txt,663,0.5112668
40,output_198985.txt,663,0.49621785
40,output_299410.txt,663,0.49406224
40,output_461626.txt,663,0.4819126
40,output_78785.txt,663,0.4704405
40,output_318882.txt,663,0.46433443
40,output_376216.txt,663,0.43855217
40,output_254880.txt,663,0.43478888
40,output_434731.txt,663,0.43289286
41,output_15039.txt,489,0.662385
41,output_116659.txt,489,0.49243146
41,output_281526.txt,76,0.4902039
41,output_468191.txt,489,0.4868266
41,output_329795.txt,489,0.47010732
41,output_452310.txt,489,0.46909806
41,output_128160.txt,489,0.45950595
41,output_127351.txt,461,0.4543085
41,output_445303.txt,489,0.45171005
41,output_306378.txt,461,0.45048064
42,output_160681.txt,489,0.52310574
42,output_321384.txt,489,0.4897166
42,output_280565.txt,561,0.4648884
42,output_199843.txt,561,0.45911136
42,output_381527.txt,162,0.4528986
42,output_491766.txt,561,0.4494344
42,output_317867.txt,529,0.43833837
42,output_93920.txt,561,0.43615064
42,output_391809.txt,489,0.42891797
42,output_132139.txt,162,0.4273545
43,output_171753.txt,384,0.67595017
43,output_367586.txt,384,0.6636369
43,output_456235.txt,384,0.64490867
43,output_165246.txt,384,0.6373037
43,output_255168.txt,384,0.6307368
43,output_96462.txt,384,0.5960512
43,output_442556.txt,384,0.5905634
43,output_83165.txt,384,0.5873152
43,output_6314.txt,235,0.583992
43,output_378863.txt,384,0.580674
44,output_303736.txt,461,0.52270454
44,output_470570.txt,461,0.51535237
44,output_459825.txt,461,0.50675344
44,output_121606.txt,461,0.48452714
44,output_378560.txt,461,0.46897689
44,output_161214.txt,315,0.43851137
44,output_360053.txt,211,0.43507165
44,output_491788.txt,461,0.42666137
44,output_92731.txt,51,0.40763628
44,output_180490.txt,461,0.4041028
45,output_327960.txt,304,0.62780404
45,output_464718.txt,304,0.5937426
45,output_500550.txt,304,0.5640404
45,output_36509.txt,304,0.55756783
45,output_14995.txt,304,0.5559677
45,output_402463.txt,304,0.55137837
45,output_90772.txt,304,0.5423584
45,output_411566.txt,304,0.5382966
45,output_100912.txt,304,0.5372573
45,output_219185.txt,304,0.5370255
46,output_155525.txt,622,0.67130053
46,output_381550.txt,622,0.6504827
46,output_13190.txt,297,0.635003
46,output_362561.txt,297,0.6349164
46,output_277378.txt,297,0.63385344
46,output_461424.txt,297,0.62760174
46,output_258520.txt,297,0.62657577
46,output_371458.txt,297,0.62521595
46,output_332326.txt,297,0.6215027
46,output_163370.txt,297,0.6163815
47,output_343370.txt,705,0.63752615
47,output_463751.txt,705,0.5697882
47,output_405580.txt,267,0.5339823
47,output_73604.txt,78,0.51832426
47,output_85236.txt,267,0.51789415
47,output_475836.txt,705,0.5113686
47,output_302305.txt,78,0.49675086
47,output_423528.txt,705,0.4905986
47,output_233491.txt,267,0.48833016
47,output_248924.txt,705,0.48409694
48,output_71786.txt,235,0.6776302
48,output_72367.txt,89,0.6770634
48,output_383295.txt,89,0.656644
48,output_236729.txt,31,0.6517227
48,output_62861.txt,31,0.64685297
48,output_144509.txt,89,0.610088
48,output_333055.txt,31,0.60482264
48,output_377852.txt,31,0.53857523
48,output_380184.txt,89,0.5224722
48,output_225777.txt,31,0.5138616
49,output_39108.txt,619,0.68584174
49,output_164484.txt,619,0.68041307
49,output_106731.txt,619,0.6747724
49,output_148501.txt,619,0.6278753
49,output_439115.txt,619,0.62727576
49,output_461841.txt,619,0.61554205
49,output_331219.txt,619,0.6040586
49,output_362507.txt,619,0.6003903
49,output_405210.txt,619,0.5955841
49,output_26389.txt,509,0.59481907
50,output_338102.txt,654,0.6818732
50,output_480620.txt,654,0.66236
50,output_431977.txt,654,0.64862543
50,output_389755.txt,654,0.6325479
50,output_322985.txt,654,0.6319282
50,output_47803.txt,654,0.62354517
50,output_288179.txt,654,0.6207445
50,output_491772.txt,654,0.61174196
50,output_306357.txt,654,0.61118627
50,output_302417.txt,654,0.603627
51,output_240864.txt,456,0.5597532
51,output_321745.txt,125,0.46425998
51,output_305922.txt,456,0.4640882
51,output_209688.txt,125,0.4572998
51,output_368166.txt,456,0.44877255
51,output_107781.txt,131,0.44504863
51,output_82554.txt,456,0.4430861
51,output_150694.txt,125,0.43499953
51,output_381233.txt,495,0.43489948
51,output_262997.txt,456,0.43000782
52,output_467823.txt,302,0.61301804
52,output_308646.txt,302,0.609923
52,output_19554.txt,302,0.60004944
52,output_12035.txt,519,0.5646259
52,output_349747.txt,302,0.5626692
52,output_79910.txt,302,0.5471115
52,output_242076.txt,302,0.54298675
52,output_96714.txt,302,0.5374359
52,output_79102.txt,302,0.52592576
52,output_361137.txt,302,0.5213839
53,output_194610.txt,486,0.5814531
53,output_237846.txt,143,0.5285376
53,output_378113.txt,486,0.5270363
53,output_459994.txt,486,0.523247
53,output_261615.txt,574,0.491028
53,output_220315.txt,486,0.48599675
53,output_387297.txt,143,0.4723293
53,output_322848.txt,704,0.46754068
53,output_213196.txt,704,0.46233493
53,output_134229.txt,704,0.46120787
54,output_437607.txt,590,0.5522963
54,output_407454.txt,590,0.5307497
54,output_413025.txt,570,0.5139843
54,output_436426.txt,590,0.5077419
54,output_293459.txt,570,0.5000471
54,output_326475.txt,570,0.49598837
54,output_488817.txt,611,0.48967597
54,output_318503.txt,590,0.4875561
54,output_341029.txt,590,0.48003587
54,output_181963.txt,570,0.47876757
55,output_30429.txt,304,0.6101159
55,output_415556.txt,304,0.5835969
55,output_70658.txt,304,0.56401026
55,output_316431.txt,304,0.5639515
55,output_478173.txt,661,0.5636147
55,output_486080.txt,304,0.5570618
55,output_299801.txt,304,0.5497091
55,output_388462.txt,304,0.54708946
55,output_40726.txt,304,0.5455761
55,output_317622.txt,304,0.5412631
56,output_48516.txt,139,0.6390559
56,output_70176.txt,139,0.6390559
56,output_179791.txt,139,0.6369754
56,output_119313.txt,139,0.610856
56,output_155274.txt,437,0.6085807
56,output_121461.txt,139,0.60111755
56,output_216628.txt,616,0.5725075
56,output_153777.txt,139,0.568441
56,output_404711.txt,422,0.56004643
56,output_413800.txt,230,0.5560901
57,output_287255.txt,222,0.7816259
57,output_298359.txt,222,0.750015
57,output_856.txt,427,0.74174136
57,output_393967.txt,222,0.7178848
57,output_15177.txt,222,0.67552066
57,output_3992.txt,427,0.66688
57,output_134725.txt,427,0.640084
57,output_8502.txt,427,0.6394485
57,output_293239.txt,427,0.6321887
57,output_235680.txt,222,0.6267792
58,output_415780.txt,214,0.52273667
58,output_154839.txt,435,0.5093595
58,output_259543.txt,214,0.50768065
58,output_222904.txt,214,0.50719386
58,output_25736.txt,435,0.5020249
58,output_234108.txt,214,0.49685714
58,output_460154.txt,435,0.49656782
58,output_280595.txt,214,0.49504036
58,output_296753.txt,214,0.49396685
58,output_7161.txt,214,0.49258536
59,output_244717.txt,678,0.57173145
59,output_95634.txt,678,0.55574405
59,output_268847.txt,678,0.5528726
59,output_321553.txt,678,0.543329
59,output_493135.txt,678,0.5417193
59,output_134134.txt,678,0.5388502
59,output_202275.txt,678,0.53581476
59,output_164385.txt,678,0.527006
59,output_283504.txt,678,0.5206224
59,output_449525.txt,678,0.51891816
60,output_428845.txt,253,0.55802256
60,output_53417.txt,547,0.4710372
60,output_135149.txt,253,0.46738693
60,output_307079.txt,63,0.46306133
60,output_125593.txt,253,0.46288553
60,output_202192.txt,253,0.45661312
60,output_46627.txt,547,0.45046932
60,output_260087.txt,547,0.44144592
60,output_475257.txt,547,0.43371052
60,output_123437.txt,547,0.4293011
61,output_161109.txt,526,0.61097276
61,output_193946.txt,425,0.60902655
61,output_447297.txt,425,0.60459113
61,output_10479.txt,425,0.5962969
61,output_19952.txt,663,0.5945543
61,output_112372.txt,663,0.59052145
61,output_426025.txt,663,0.5818372
61,output_3.txt,425,0.5788095
61,output_217836.txt,663,0.56046355
61,output_63497.txt,425,0.54926115
62,output_266852.txt,625,0.6450273
62,output_293061.txt,625,0.6268831
62,output_377810.txt,444,0.6132585
62,output_120892.txt,625,0.6128342
62,output_277594.txt,9,0.6040963
62,output_83286.txt,9,0.5896858
62,output_91047.txt,625,0.57876897
62,output_311407.txt,444,0.5773541
62,output_392822.txt,625,0.55750716
62,output_16321.txt,672,0.55660355
63,output_138550.txt,188,0.57610345
63,output_201518.txt,188,0.55218667
63,output_264840.txt,668,0.52616477
63,output_293650.txt,188,0.5215846
63,output_273294.txt,188,0.51827836
63,output_102431.txt,188,0.49568063
63,output_367913.txt,668,0.48457506
63,output_433527.txt,188,0.4785934
63,output_20388.txt,188,0.4772988
63,output_113002.txt,188,0.47208458
64,output_385068.txt,204,0.67862934
64,output_105741.txt,204,0.66399735
64,output_275797.txt,204,0.5512036
64,output_110673.txt,204,0.5478393
64,output_206784.txt,629,0.5376899
64,output_112673.txt,204,0.48376435
64,output_38179.txt,204,0.48326632
64,output_63235.txt,272,0.47510087
64,output_345090.txt,204,0.46815565
64,output_26460.txt,204,0.46533716
65,output_250377.txt,473,0.63363135
65,output_329229.txt,473,0.6099292
65,output_426911.txt,289,0.59682447
65,output_84642.txt,289,0.5809343
65,output_85130.txt,407,0.5692345
65,output_453036.txt,491,0.56695163
65,output_68382.txt,141,0.5663936
65,output_395005.txt,141,0.5647743
65,output_207153.txt,141,0.56180274
65,output_229618.txt,443,0.5565872
66,output_229986.txt,349,0.7139199
66,output_27170.txt,349,0.55198073
66,output_381134.txt,233,0.5451065
66,output_236915.txt,349,0.51393783
66,output_76909.txt,349,0.49682647
66,output_451559.txt,349,0.4952918
66,output_485028.txt,233,0.4837445
66,output_436297.txt,349,0.48308578
66,output_10767.txt,349,0.48294938
66,output_451153.txt,349,0.4803741
67,output_409343.txt,663,0.5530461
67,output_189957.txt,663,0.54761374
67,output_262328.txt,425,0.5148097
67,output_471560.txt,425,0.5135374
67,output_179659.txt,663,0.5007999
67,output_207619.txt,553,0.49952582
67,output_354852.txt,425,0.49799654
67,output_161277.txt,663,0.49378133
67,output_429056.txt,663,0.4910046
67,output_377228.txt,663,0.48270684
68,output_3152.txt,76,0.5860163
68,output_379148.txt,253,0.55305374
68,output_389230.txt,382,0.41630632
68,output_146729.txt,382,0.41260087
68,output_493396.txt,382,0.38772273
68,output_14485.txt,382,0.38115856
68,output_12090.txt,382,0.36974606
68,output_104138.txt,561,0.36429346
68,output_78203.txt,382,0.35791385
68,output_348162.txt,382,0.3555972
69,output_486604.txt,129,0.47379017
69,output_13547.txt,146,0.46342707
69,output_252532.txt,129,0.4580469
69,output_39234.txt,129,0.4246946
69,output_186666.txt,434,0.4162996
69,output_238600.txt,129,0.41314808
69,output_121358.txt,129,0.41207737
69,output_10128.txt,129,0.4001912
69,output_78152.txt,464,0.39952832
69,output_29567.txt,434,0.3986715
70,output_461417.txt,76,0.4956668
70,output_273929.txt,76,0.47315174
70,output_455175.txt,127,0.4290806
70,output_280053.txt,326,0.40165782
70,output_355140.txt,146,0.389256
70,output_70456.txt,76,0.374788
70,output_102922.txt,76,0.37062263
70,output_272897.txt,76,0.36766315
70,output_315126.txt,64,0.36703938
70,output_2853.txt,529,0.36559567
71,output_490434.txt,76,0.5563672
71,output_151168.txt,76,0.53572714
71,output_392691.txt,76,0.49908024
71,output_375910.txt,76,0.49808943
71,output_20672.txt,129,0.48244423
71,output_292051.txt,76,0.47389135
71,output_28456.txt,461,0.45647365
71,output_466724.txt,76,0.44781148
71,output_132384.txt,76,0.44654793
71,output_460824.txt,146,0.4425326
72,output_161596.txt,270,0.5840085
72,output_281456.txt,270,0.58258283
72,output_121814.txt,270,0.5744014
72,output_50225.txt,540,0.57348794
72,output_273557.txt,304,0.57259464
72,output_143536.txt,304,0.55573153
72,output_463232.txt,304,0.55046165
72,output_202161.txt,540,0.54939514
72,output_124659.txt,540,0.54537356
72,output_417725.txt,304,0.53897643
73,output_254629.txt,310,0.5828982
73,output_131856.txt,310,0.57265437
73,output_410759.txt,310,0.56533337
73,output_117550.txt,310,0.56104815
73,output_391823.txt,310,0.5424348
73,output_338706.txt,310,0.53640765
73,output_209104.txt,310,0.5254333
73,output_61262.txt,310,0.5223162
73,output_82654.txt,310,0.52101994
73,output_387587.txt,310,0.5174815
74,output_303829.txt,343,0.4784423
74,output_51631.txt,343,0.47476983
74,output_224924.txt,343,0.47076344
74,output_190319.txt,343,0.4696557
74,output_383400.txt,343,0.4563017
74,output_438719.txt,343,0.45265806
74,output_64314.txt,343,0.44098645
74,output_16618.txt,343,0.43509293
74,output_96392.txt,343,0.43366218
74,output_414963.txt,343,0.42513296
75,output_437811.txt,475,0.58148515
75,output_395193.txt,169,0.5805026
75,output_226586.txt,169,0.58048946
75,output_431970.txt,169,0.5641636
75,output_360508.txt,169,0.56384367
75,output_173811.txt,169,0.5623007
75,output_417807.txt,169,0.55986476
75,output_90918.txt,169,0.55937964
75,output_167128.txt,169,0.55878603
75,output_401378.txt,169,0.55488145
76,output_206477.txt,207,0.59143347
76,output_242435.txt,13,0.4378217
76,output_12597.txt,330,0.432222
76,output_320674.txt,344,0.4288295
76,output_326270.txt,209,0.42466474
76,output_440294.txt,207,0.41458264
76,output_164366.txt,683,0.40709776
76,output_197542.txt,464,0.39916486
76,output_296429.txt,100,0.39498106
76,output_266282.txt,501,0.39240587
77,output_155050.txt,687,0.53050864
77,output_92299.txt,687,0.5258648
77,output_3857.txt,687,0.5211921
77,output_134178.txt,154,0.50707304
77,output_297781.txt,687,0.5056131
77,output_498793.txt,687,0.5021036
77,output_29164.txt,154,0.4950094
77,output_183578.txt,292,0.490639
77,output_38190.txt,687,0.48717684
77,output_248156.txt,687,0.48670995
78,output_334959.txt,296,0.6486545
78,output_319994.txt,296,0.56053734
78,output_265361.txt,296,0.55621946
78,output_262111.txt,296,0.55253667
78,output_135651.txt,296,0.5496471
78,output_107532.txt,296,0.5365391
78,output_187883.txt,296,0.5305962
